Year,Australia,New Zealand 
1960,18593347519,5485854792
1961,19666256020,5670064168
1962,19911524247,6077496268
1963,21527606675,6638937283
1964,23787658192,7274144351
1965,25962593795,5654463586
1966,27288610147,5863733231
1967,30421099787,5961418094
1968,32687870982,5180597621
1969,36659200358,5761588762
1970,41304737373,7912290825
1971,45183111211,9567331065
1972,52003504673,12802281898
1973,63782190903,13940981798
1974,88906411201,12861983284
1975,97226546497,13604832424
1976,1.04974E+11,15446825318
1977,1.10266E+11,18530518395
1978,1.18401E+11,20730241410
1979,1.34794E+11,23245512449
1980,1.49887E+11,24417617184
1981,1.76805E+11,24164603059
1982,1.93955E+11,24308622503
1983,1.77176E+11,21665456808
1984,1.93504E+11,24680306905
1985,1.80471E+11,30605196451
1986,1.82282E+11,40377592077
1987,1.89376E+11,45176167472
1988,2.36136E+11,43920222525
1989,2.99941E+11,45495727007
1990,3.11426E+11,42745329732
1991,3.26069E+11,41649298171
1992,3.25693E+11,46775067751
1993,3.12373E+11,55315342817
1994,3.23217E+11,63918703507
1995,3.68392E+11,70140835299
1996,4.01819E+11,66074513018
1997,4.36098E+11,56227169851
1998,3.99779E+11,58761741658
1999,3.89147E+11,52623281957
2000,4.15446E+11,53872425917
2001,3.789E+11,66628222189
2002,3.94636E+11,88250885550
2003,4.66853E+11,1.03906E+11
2004,6.1333E+11,1.14719E+11
2005,6.93764E+11,1.11607E+11
2006,7.47573E+11,1.37315E+11
2007,8.53765E+11,1.3328E+11
2008,1.05533E+12,1.21337E+11
2009,9.27168E+11,1.46581E+11
2010,1.14288E+12,1.68462E+11
2011,1.39056E+12,1.76193E+11
2012,1.53819E+12,1.90521E+11
2013,1.56718E+12,2.00696E+11
2014,1.4596E+12,1.75563E+11
2015,1.34538E+12,1.84969E+11
